"Wavelength, µm","n","k"
2.893,1.036,19.93
2.906,1.045,20.02
2.919,1.054,20.11
2.933,1.063,20.2
2.946,1.073,20.29
2.959,1.082,20.38
2.973,1.092,20.48
2.987,1.102,20.57
3.001,1.112,20.67
3.015,1.122,20.77
3.029,1.132,20.86
3.043,1.143,20.96
3.057,1.153,21.06
3.072,1.164,21.16
3.086,1.175,21.26
3.101,1.186,21.37
3.116,1.197,21.47
3.131,1.209,21.57
3.146,1.22,21.68
3.162,1.232,21.79
3.177,1.244,21.89
3.193,1.256,22
3.209,1.268,22.11
3.224,1.28,22.22
3.241,1.293,22.33
3.257,1.305,22.45
3.273,1.318,22.56
3.29,1.331,22.67
3.307,1.345,22.79
3.324,1.358,22.91
3.341,1.372,23.02
3.358,1.386,23.14
3.376,1.4,23.26
3.393,1.414,23.39
3.411,1.429,23.51
3.429,1.444,23.63
3.447,1.459,23.76
3.466,1.474,23.89
3.485,1.49,24.01
3.503,1.505,24.14
3.522,1.521,24.28
3.542,1.538,24.41
3.561,1.554,24.54
3.581,1.571,24.68
3.601,1.588,24.81
3.621,1.605,24.95
3.641,1.623,25.09
3.662,1.641,25.23
3.683,1.659,25.38
3.704,1.678,25.52
3.725,1.697,25.67
3.746,1.716,25.81
3.768,1.735,25.96
3.79,1.755,26.11
3.812,1.775,26.27
3.835,1.796,26.42
3.858,1.817,26.58
3.881,1.838,26.73
3.904,1.859,26.89
3.928,1.881,27.06
3.952,1.904,27.22
3.976,1.927,27.38
4.001,1.95,27.55
4.026,1.974,27.72
4.051,1.998,27.89
4.076,2.022,28.07
4.102,2.047,28.24
4.128,2.072,28.42
4.155,2.098,28.6
4.181,2.125,28.78
4.209,2.152,28.97
4.236,2.179,29.15
4.264,2.207,29.34
4.292,2.235,29.54
4.321,2.264,29.73
4.35,2.294,29.93
4.379,2.324,30.13
4.409,2.355,30.33
4.439,2.386,30.53
4.47,2.418,30.74
4.501,2.451,30.95
4.532,2.484,31.16
4.564,2.518,31.38
4.597,2.553,31.6
4.629,2.588,31.82
4.663,2.624,32.04
4.697,2.661,32.27
4.731,2.699,32.5
4.766,2.737,32.74
4.801,2.776,32.97
4.837,2.817,33.21
4.873,2.858,33.46
4.91,2.899,33.71
4.947,2.942,33.96
4.986,2.986,34.21
5.024,3.031,34.47
5.063,3.077,34.73
5.103,3.123,35
5.144,3.171,35.27
5.185,3.22,35.55
5.227,3.27,35.82
5.269,3.321,36.11
5.312,3.374,36.4
5.356,3.427,36.69
5.401,3.482,36.98
5.446,3.539,37.29
5.493,3.596,37.59
5.539,3.655,37.9
5.587,3.716,38.22
5.636,3.778,38.54
5.685,3.841,38.87
5.736,3.906,39.2
5.787,3.973,39.54
5.839,4.042,39.88
5.892,4.112,40.23
5.946,4.184,40.59
6.001,4.258,40.95
6.057,4.334,41.32
6.114,4.412,41.69
6.173,4.492,42.07
6.232,4.574,42.46
6.292,4.658,42.85
6.354,4.745,43.26
6.417,4.834,43.67
6.481,4.926,44.08
6.547,5.02,44.51
6.613,5.117,44.94
6.682,5.216,45.38
6.751,5.319,45.83
6.822,5.424,46.29
6.895,5.533,46.76
6.969,5.645,47.23
7.045,5.76,47.72
7.122,5.879,48.21
7.201,6.001,48.72
7.282,6.127,49.24
7.365,6.258,49.76
7.45,6.392,50.3
7.536,6.53,50.85
7.625,6.673,51.41
7.716,6.82,51.98
7.809,6.973,52.57
7.904,7.13,53.17
8.001,7.293,53.78
8.101,7.461,54.4
8.204,7.634,55.04
8.309,7.814,55.7
8.417,8,56.37
8.528,8.193,57.05
8.642,8.392,57.75
8.758,8.598,58.47
8.878,8.812,59.2
9.002,9.034,59.96
